,Venue 1,Venue 2,Duration (hhmm),Distance (mi)
0,"Bryce Canyon National Park Visitor Center, Utah 63, Bryce, UT","Zion National Park Visitor Center, Zion – Mount Carmel Highway, Hurricane, UT",1:51,85
1,"Zion National Park Visitor Center, Zion – Mount Carmel Highway, Hurricane, UT","Red Cliffs Recreation Area, Unnamed Road, Washington, UT",0:48,34
2,"Red Cliffs Recreation Area, Unnamed Road, Washington, UT","Kanarra Creek Trailhead, Kanarraville, UT",0:31,27
3,"Kanarra Creek Trailhead, Kanarraville, UT","Yosemite Valley Visitor Center, Village Drive, Yosemite Valley, CA",8:38,498
4,"Yosemite Valley Visitor Center, Village Drive, Yosemite Valley, CA","D L Bliss State Park, California 89, South Lake Tahoe, CA",4:36,202
5,"D L Bliss State Park, California 89, South Lake Tahoe, CA","San Francisco, California",3:29,197
6,"San Francisco, California","Castle Rock Entrance Station Parking Lot, Unnamed Road, Saratoga, CA",1:09,55
7,"Castle Rock Entrance Station Parking Lot, Unnamed Road, Saratoga, CA","Carmel-by-the-Sea, CA",1:25,70
8,"Carmel-by-the-Sea, CA","Big Sur, CA",1:03,26
9,"Big Sur, CA","San Simeon, CA",2:21,80
10,"San Simeon, CA","Moro Rock Trail, California",3:59,196
11,"Moro Rock Trail, California","Grand Canyon Visitor Center, South Entrance Road, Grand Canyon Village, AZ",10:23,619
12,"Grand Canyon Visitor Center, South Entrance Road, Grand Canyon Village, AZ","Horseshoe Bend Parking Lot, Page, AZ",2:24,132
13,"Horseshoe Bend Parking Lot, Page, AZ","Monument Valley Navajo Tribal Park, Main Monument Valley Road, Oljato-Monument Valley, AZ",2:04,127
14,"Monument Valley Navajo Tribal Park, Main Monument Valley Road, Oljato-Monument Valley, AZ","Natural Bridges Visitor Center, Natural Bridge, Lake Powell, UT",1:23,66
15,"Natural Bridges Visitor Center, Natural Bridge, Lake Powell, UT","Arches National Park Visitor Center, Moab, UT",2:14,119
16,"Arches National Park Visitor Center, Moab, UT","Island in the Sky Visitor Center, Grand View Point Road, Moab, UT",0:36,29
17,"Island in the Sky Visitor Center, Grand View Point Road, Moab, UT","Calf Creek Campground, Boulder, UT",3:54,213
18,"Calf Creek Campground, Boulder, UT","Bryce Canyon National Park Visitor Center, Utah 63, Bryce, UT",1:21,66
